geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_SfmbtKD_v_toySfmbtKD_change
Ets21C	83.5309362182171	3.45304381814372	0.659380041128473	5.2368036682368	1.6338132757669e-07	2.40064698406712e-05	enriched in toy-SfmbtKD
GILT2	26.1627844832948	-2.19400581943055	0.683809733129687	-3.20850334988497	0.00133427754843827	0.0222835754670802	depleted in toy-SfmbtKD
Gagr	42.84629712222	-1.83451835783893	0.496371781059403	-3.69585546125029	0.000219147629054366	0.00637223909482487	depleted in toy-SfmbtKD
Ggamma30A	205.277967590555	1.00955751938516	0.3431864580338	2.94171723782215	0.00326397815418456	0.0401120334168341	enriched in toy-SfmbtKD
GluRIA	11.7504810846943	-2.79086472184044	0.929522227219501	-3.00247228104358	0.00267796359996878	0.0354521739453861	depleted in toy-SfmbtKD
Gr64a	46.0126929533135	-9.16838807841455	1.23257123529522	-7.43842450308245	1.01893180088255e-13	6.22185230913909e-11	depleted in toy-SfmbtKD
Gr64f	8.95970555349544	-7.4160872754723	1.37572413838982	-5.39067903842428	7.019194398371e-08	1.20311454863306e-05	depleted in toy-SfmbtKD
GstE14	262.034557484033	-2.72117384784783	0.664934071487801	-4.09239647136619	4.26937873805285e-05	0.00199578135266872	depleted in toy-SfmbtKD
GstE6	31.5516765678193	1.70980001296257	0.556900253508305	3.07020871725473	0.00213909227192083	0.0306435945698923	enriched in toy-SfmbtKD
Gyc32E	155.286770542504	1.09230078566089	0.268343338532026	4.07053438194639	4.69054175024302e-05	0.00210213728898506	enriched in toy-SfmbtKD
Hr38	8.01738452488366	3.78477289897473	1.24407633979284	3.04223525350942	0.00234828286513072	0.0324508113045645	enriched in toy-SfmbtKD
Hsp67Bc	1097.16992540787	-1.26232425638112	0.384736809488698	-3.28100723728179	0.00103437090066944	0.0187144512954453	depleted in toy-SfmbtKD
Ilp6	137.339887914479	-1.5062562288021	0.370634969734603	-4.06398843012756	4.82412181110976e-05	0.00214234864066101	depleted in toy-SfmbtKD
