geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toySfmbtKD_change
CG4408	1227.80864860686	-2.47133900276258	0.676881354630531	-3.65106674287333	0.000261153356758149	0.00416194535857064	depleted in toy-SfmbtKD
CG45002	38.2168300072084	1.19888856578628	0.373220144903059	3.212282568771	0.00131684785393256	0.0148034413242644	enriched in toy-SfmbtKD
CG4562	104.467802591418	3.11229110672004	0.229466579937218	13.5631563758503	6.62238825328388e-42	1.02986657266487e-38	enriched in toy-SfmbtKD
CG4793	73.5011189593443	-2.32998705715813	0.592001474995769	-3.9357791417239	8.29272114141356e-05	0.00161368143977683	depleted in toy-SfmbtKD
CG4822	252.303089604133	-1.30292463952686	0.381437223112192	-3.41582981570635	0.000635879736881191	0.00837288277001448	depleted in toy-SfmbtKD
CG5217	11.5193300198241	-2.49506661837156	0.617026011403578	-4.04369762742404	5.26147667815997e-05	0.00111291911553891	depleted in toy-SfmbtKD
CG5399	158.761155650404	1.9802495008308	0.358037453193584	5.53084456156076	3.18692634945686e-08	1.8537905887393e-06	enriched in toy-SfmbtKD
CG5418	10.2957826605347	-3.69562326980516	1.07432208148283	-3.4399584012127	0.000581803603194451	0.00783271871585759	depleted in toy-SfmbtKD
CG5618	202.49215203193	-1.92417570247663	0.286054337827364	-6.72660906697344	1.73662489658074e-11	2.09336531208317e-09	depleted in toy-SfmbtKD
CG6012	6.13670795751335	-19.9338572980024	4.30406312364057	-4.6314044950952	3.63193523872221e-06	0.000116094287742542	depleted in toy-SfmbtKD
CG6034	7.52338267012755	-3.91698599460023	1.25372238701031	-3.12428495748637	0.00178237751627882	0.0187515110939744	depleted in toy-SfmbtKD
CG6201	50.701882247242	-1.23303380981139	0.38047031109344	-3.24081478596256	0.00119188596576121	0.0136752512470652	depleted in toy-SfmbtKD
CG6293	61.0588057160741	-1.32559032088727	0.233654634590204	-5.67328922540812	1.40081427426108e-08	8.98406847050138e-07	depleted in toy-SfmbtKD
CG6324	17.9719435332903	4.52958118537829	0.787253867345105	5.75364742335737	8.73382146383072e-09	5.94434583303581e-07	enriched in toy-SfmbtKD
CG6426	115.098488516974	-1.11624935711315	0.360671196985539	-3.09492237373727	0.00196864413085201	0.0203264030228838	depleted in toy-SfmbtKD
CG6845	438.139304342825	-1.12131578429167	0.231374521827861	-4.84632350802181	1.25770370708269e-06	4.78453444462445e-05	depleted in toy-SfmbtKD
CG7017	62.7241130361792	5.19118905466006	1.8020135732147	2.88077133925204	0.00396703325806841	0.0349077992497577	enriched in toy-SfmbtKD
CG7173	200.640121163896	2.24015677171607	0.41535594134945	5.39334230885929	6.91590208213302e-08	3.62270158804926e-06	enriched in toy-SfmbtKD
CG7386	61.2821711562736	-5.09716542764616	0.57105465752965	-8.92588014200989	4.42169094364494e-19	1.75294039224203e-16	depleted in toy-SfmbtKD
CG7402	11.3367867412948	-3.79343890571384	1.23900375344059	-3.06168475695076	0.00220095115530125	0.0221981011177308	depleted in toy-SfmbtKD
CG7587	146.975891101639	-5.312407638466	1.26692766954876	-4.19314201288073	2.75117090342778e-05	0.000669719340359974	depleted in toy-SfmbtKD
CG7606	91.6479933062089	-4.37530846522639	1.06538550161737	-4.10678431289349	4.01205543934612e-05	0.000895995863184328	depleted in toy-SfmbtKD
CG7715	105.488596748257	4.71886768508893	1.47267566102126	3.20428170980739	0.00135399921756867	0.015102298965189	enriched in toy-SfmbtKD
CG8080	174.838181713018	-1.06533902075218	0.245390767845583	-4.34139813044053	1.41578916561636e-05	0.000383874542059395	depleted in toy-SfmbtKD
CG8112	87.1816118092109	-1.43554619842702	0.453436268424484	-3.16592716196917	0.00154589498132743	0.016848528990631	depleted in toy-SfmbtKD
CG8157	27.9643299721386	-3.24986719865499	1.02651522011964	-3.16592207787843	0.00154592200033975	0.016848528990631	depleted in toy-SfmbtKD
CG8172	192.11230790946	-1.10674173548235	0.289252581580133	-3.82621212725716	0.000130130164972102	0.00235009440531747	depleted in toy-SfmbtKD
CG8607	89.1021332073158	1.10720182731412	0.259224095731752	4.27121492771976	1.94410928496448e-05	0.000498738805027425	enriched in toy-SfmbtKD
CG8745	54.6918375252512	-3.4878476479135	1.17763852995476	-2.9617302416621	0.00305915675653227	0.0286045451860798	depleted in toy-SfmbtKD
CG8909	136.716065049794	1.20630301203461	0.311713749492146	3.86990632912393	0.000108877177776233	0.00200862082823964	enriched in toy-SfmbtKD
CG9040	29.2910128300631	-6.38537878057044	2.33946576805985	-2.72941748827806	0.00634463243549316	0.0492459639387968	depleted in toy-SfmbtKD
CG9119	357.79691771205	-2.66308760362818	0.646343667940341	-4.12023469204	3.78486668190493e-05	0.000872291839768635	depleted in toy-SfmbtKD
CG9184	40.0966950407873	-2.34747720023099	0.791801185975837	-2.96473059375113	0.00302948103557297	0.028486802406868	depleted in toy-SfmbtKD
CG9509	28.8302407839812	-3.03641424752969	1.01732951549919	-2.984690998609	0.00283864919746553	0.0271257738497064	depleted in toy-SfmbtKD
CG9514	91.6241081463916	2.30093314538196	0.381220994378835	6.03569367718354	1.58281259242813e-09	1.31966999893695e-07	enriched in toy-SfmbtKD
CG9629	251.156649874197	-1.17805205695354	0.364617648017363	-3.23092440357532	0.00123390569782765	0.0139903266498832	depleted in toy-SfmbtKD
CG9925	333.609491041724	6.92073856631261	0.234993287818327	29.4507925335426	1.2298785622971e-190	1.23049350157825e-186	enriched in toy-SfmbtKD
CR31044	103.233649235775	-1.11003830280634	0.34283245848308	-3.23784482868947	0.00120436295618089	0.0137396252868755	depleted in toy-SfmbtKD
CR43257	44.0171207182211	-1.10790799847907	0.30517567738626	-3.63039416498712	0.000282988725884185	0.00444474443088111	depleted in toy-SfmbtKD
CR43626	14.6267920215016	-2.70764356348893	0.756595850831441	-3.57871849351729	0.00034528313674718	0.00523780386708216	depleted in toy-SfmbtKD
CR43767	37.1216442710179	-6.51895776978768	0.667386899259029	-9.76788393213202	1.54648261097739e-22	7.73627926141438e-20	depleted in toy-SfmbtKD
CR43961	17.839260845473	4.93776448133334	0.727656997308704	6.785840718355	1.15412428618889e-11	1.44337668541498e-09	enriched in toy-SfmbtKD
CR44024	177.286720857806	-1.03852514896092	0.308541551151931	-3.36591666530363	0.000762897523863032	0.00969858923284579	depleted in toy-SfmbtKD
CR44029	47.0208040117658	-1.18003616158337	0.417835114664926	-2.82416704620357	0.00474036716083411	0.0399220315186408	depleted in toy-SfmbtKD
CR44030	183.743259468163	-1.04423867918999	0.156116895500089	-6.6888255486056	2.24968716880491e-11	2.64801413222272e-09	depleted in toy-SfmbtKD
CR44291	38.9408393557324	-1.08085372935167	0.336727888624512	-3.20987291479423	0.00132793669403288	0.0148946262598643	depleted in toy-SfmbtKD
CR44334	60.1138243596907	2.42731739744349	0.804400017537168	3.01755015480384	0.00254826868762073	0.0248978791207475	enriched in toy-SfmbtKD
CR44445	12.8716031527764	5.97222488212565	1.23266910058876	4.84495383170807	1.26641123864235e-06	4.79941077371846e-05	enriched in toy-SfmbtKD
CR44933	3.8945232817633	4.86541279511419	1.57228034555616	3.09449444487787	0.00197148626607536	0.0203347629815299	enriched in toy-SfmbtKD
CR45131	14.3631211330711	2.29613901458319	0.666602921013498	3.44453788335064	0.000572036468068406	0.00773408765273568	enriched in toy-SfmbtKD
CR45185	87.7013525376294	-1.31405576379804	0.245044550216281	-5.36251780599988	8.20698754666111e-08	4.21081591817151e-06	depleted in toy-SfmbtKD
CR45812	4.63912833108974	-3.49448736597332	1.18801703133799	-2.94144551281197	0.00326684309800198	0.0300687812286199	depleted in toy-SfmbtKD
CR45923	24.7275241245004	2.12029434412939	0.498368751845466	4.25446887726792	2.09545801443988e-05	0.00052676023704701	enriched in toy-SfmbtKD
CR45926	14.787363639895	1.77626625056831	0.634236320392021	2.80063785919798	0.00510017178641934	0.0422061362474156	enriched in toy-SfmbtKD
CR46003	47.13269819837	-1.46949738059169	0.495484132541752	-2.96578090816634	0.00301915484943292	0.0284164104125836	depleted in toy-SfmbtKD
CR46029	22.411414009798	2.26628780763059	0.485988530724586	4.66325368677252	3.11248670259506e-06	0.000102773694585688	enriched in toy-SfmbtKD
CR46119	9.78520805671971	2.39566758729816	0.675438346019298	3.54683384711136	0.000389890402185798	0.0057243425549742	enriched in toy-SfmbtKD
CR46194	43.3797932015243	-1.3963998067482	0.347234790571628	-4.02148587832862	5.78321756651515e-05	0.00120293330047784	depleted in toy-SfmbtKD
CYTB	9950.97303407408	-1.05987616648982	0.302540109742962	-3.50325835271989	0.000459603457093225	0.00652111224902692	depleted in toy-SfmbtKD
Cpr49Ah	182.944529003514	2.71515962233151	0.827575969490821	3.28085846185463	0.00103491664015124	0.0123119393397303	enriched in toy-SfmbtKD
Cpr66Cb	69.5624385999834	-5.62931893600689	0.750397617879287	-7.50178145809686	6.295627434533e-14	1.18844816004722e-11	depleted in toy-SfmbtKD
Cpr92A	85.8098575055258	-2.53054833999832	0.31179173008454	-8.11614964679204	4.81207255468144e-16	1.1196461839439e-13	depleted in toy-SfmbtKD
Cpr97Ea	335.740580902187	-1.85903653189976	0.270070008158339	-6.8835356601679	5.83849736984826e-12	7.78855549137758e-10	depleted in toy-SfmbtKD
Cyp18a1	188.215191378864	2.36375893195535	0.495526788484101	4.77019403771587	1.84048542853767e-06	6.60002032706789e-05	enriched in toy-SfmbtKD
Cyp309a1	7.08831755463501	-5.95480775236682	2.16962945101925	-2.74461970894125	0.00605810550177762	0.0478384732006985	depleted in toy-SfmbtKD
Cyp4ac1	59.3528315425291	-2.11969721625379	0.639531258061434	-3.31445443758148	0.000918221429072647	0.0111590471135251	depleted in toy-SfmbtKD
Cyp4g1	95.4480204862882	-4.96722783773564	1.4350493483029	-3.46136378070197	0.00053744603113343	0.00736595553628763	depleted in toy-SfmbtKD
Cyp6g2	322.749472006734	-2.98405271670134	0.624890813473596	-4.7753185874406	1.79422974752528e-06	6.48060239133228e-05	depleted in toy-SfmbtKD
Cyp6w1	5.97496464675948	6.83941166219467	2.23126094859698	3.06526749661231	0.00217475393794089	0.0219781951000996	enriched in toy-SfmbtKD
Dh44	16.8287993036133	-4.72602240402626	1.07738200228236	-4.3865800561124	1.15146796269681e-05	0.000318244115104464	depleted in toy-SfmbtKD
Dhc98D	17.8134456753087	3.17401437488077	0.581979887922461	5.45382141333319	4.92987140201134e-08	2.66612775011478e-06	enriched in toy-SfmbtKD
Dr	571.339551147422	1.55517741448829	0.468073145248008	3.32250937759798	0.00089211672637822	0.0109248810861862	enriched in toy-SfmbtKD
Eig71Ee	624.893611280065	-4.58042335833305	1.2400073956225	-3.69386777409791	0.000220868682462712	0.0036226084721958	depleted in toy-SfmbtKD
Elk	32.9725119162266	-2.15703376426434	0.592565835643485	-3.64015883892793	0.000272469906181145	0.00429978140590278	depleted in toy-SfmbtKD
Epac	215.218918426899	1.47699031563207	0.33531745412706	4.40475226521432	1.05904835572373e-05	0.0002984726422258	enriched in toy-SfmbtKD
Ets21C	83.5309362182171	3.66350040637319	0.643508287839882	5.69301200248837	1.2481760887597e-08	8.21579063686895e-07	enriched in toy-SfmbtKD
FASN3	56.9417725269921	-4.51660204238633	1.50134999777349	-3.00836050826555	0.00262661351202054	0.0254912288562706	depleted in toy-SfmbtKD
GILT2	26.1627844832948	-2.32942925015059	0.675842722372594	-3.44670316486203	0.000567471707635617	0.00770360167556899	depleted in toy-SfmbtKD
GILT3	45.9122575053243	-1.39147140953384	0.439829978679255	-3.16365749718158	0.00155800027398608	0.0169248563965588	depleted in toy-SfmbtKD
GNBP2	261.216078460027	1.21296785842434	0.204418106491234	5.93375938777888	2.96075641749977e-09	2.27864368900655e-07	enriched in toy-SfmbtKD
Gagr	42.84629712222	-1.40847374076513	0.492888285795909	-2.85759224017822	0.00426868546406981	0.0368005533387723	depleted in toy-SfmbtKD
Gpb5	10.6816796180773	-3.18290257192984	0.699830374587506	-4.54810578035557	5.41309273344946e-06	0.000167012097247996	depleted in toy-SfmbtKD
GstE14	262.034557484033	-2.52657371585743	0.66431911874423	-3.80325305198719	0.000142808345927351	0.00254234430783478	depleted in toy-SfmbtKD
GstE2	9.26913650530052	-3.09355712261859	0.962817400819679	-3.21302577205702	0.00131344503202064	0.0147841760561766	depleted in toy-SfmbtKD
HP1D3csd	80.7599070818344	5.20034941569483	0.469447206676381	11.0776022132767	1.61129987821623e-28	1.15150394868238e-25	enriched in toy-SfmbtKD
Hasp	22.9932620647473	1.84661719364381	0.660522022128897	2.7956936056304	0.00517884723594361	0.0425995456032776	enriched in toy-SfmbtKD
