geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyScmKD_change
CG33110	6.67521081761507	-4.17212290226985	1.5998693205201	-2.60778980430323	0.0091128894112491	0.0316503702197727	depleted in toy-ScmKD
CG33120	12.6315118467902	-18.8256842462805	2.39536701972636	-7.85920658139106	3.86574234283329e-15	1.27740224104665e-13	depleted in toy-ScmKD
CG33189	5.20049567360544	-5.15628134264403	1.6585897292875	-3.10883472361732	0.00187826755503017	0.00861798188302277	depleted in toy-ScmKD
CG33229	1004.54884776138	-1.061000385198	0.128706324221303	-8.24357615383121	1.67138462833184e-16	6.03715654543999e-15	depleted in toy-ScmKD
CG33260	64.6584717757231	-1.21543016337061	0.217443772128673	-5.58962968436445	2.27554368150714e-08	3.56297758801007e-07	depleted in toy-ScmKD
CG33267	7.63947025710549	-2.3492615116199	0.96519380589657	-2.43397905919803	0.0149338590350075	0.0466740551276571	depleted in toy-ScmKD
CG33288	32.9759075127692	1.61898269690401	0.642715502241249	2.51897253335008	0.011769783756269	0.0386605471454743	enriched in toy-ScmKD
CG33293	2.31055984143011	-4.02598779141587	1.54952468288175	-2.5982082350108	0.00937116455336914	0.0322480120553685	depleted in toy-ScmKD
CG33333	692.465086566681	-6.9711418605556	1.40782371865259	-4.95171502525016	7.35622762485896e-07	8.69712013209905e-06	depleted in toy-ScmKD
CG33460	79.3663055717725	-2.74428742529249	0.569247348144214	-4.8209050674352	1.42908357453648e-06	1.59932162855445e-05	depleted in toy-ScmKD
CG33465	194.450885469488	-1.59464420432051	0.397004469913241	-4.01669080619921	5.9021079389839e-05	0.00043359933521587	depleted in toy-ScmKD
CG33494	90.2719534732272	-1.37604490309186	0.374673714101435	-3.67264863080126	0.000240049446973882	0.00149052635272757	depleted in toy-ScmKD
CG3394	72.3941683383274	-1.83459746913559	0.62078498785087	-2.9552864599495	0.00312378859200965	0.0130054393884344	depleted in toy-ScmKD
CG33978	5019.12407333824	-1.52026606843328	0.12752402578144	-11.9214089981665	9.15470522441132e-33	9.22072473324121e-31	depleted in toy-ScmKD
CG34057	12.0275699368563	-5.76383761196903	1.36952758420127	-4.20863199723763	2.56921427246512e-05	0.000210418448038093	depleted in toy-ScmKD
CG34141	11.0716496008916	-1.72665150828901	0.710812226525673	-2.42912466028979	0.0151353272872228	0.047129177566486	depleted in toy-ScmKD
CG34166	1064.89631006555	-5.57400595509753	1.30215996363224	-4.28058465224917	1.86402965428938e-05	0.000157338522390663	depleted in toy-ScmKD
CG34232	53.7017416996697	-1.12886350980166	0.441412390314262	-2.55738972120372	0.0105460990982223	0.0354175898139994	depleted in toy-ScmKD
CG34253	5.79907344439662	-4.20997058113537	1.623688447808	-2.5928438345539	0.00951859812688375	0.03265879966561	depleted in toy-ScmKD
CG34279	35.6920433082492	-5.09497744695067	1.35630206809256	-3.75652118124099	0.000172291695199678	0.00110721196761756	depleted in toy-ScmKD
CG34296	55.8618636477081	-3.12106932614041	0.797163819056219	-3.9152169874387	9.03229387408849e-05	0.000632864738000514	depleted in toy-ScmKD
CG34342	4.06726069723291	-5.09714824737278	1.47522433540337	-3.45516822428169	0.000549949572473792	0.00305122975194013	depleted in toy-ScmKD
CG34357	12.5812138364025	-2.2558388858133	0.83141853790147	-2.71324102479975	0.00666286250793503	0.0245838269709825	depleted in toy-ScmKD
CG34409	16.880207433227	-1.41461132911433	0.564796532045137	-2.50463883691353	0.0122576487106515	0.0399664045840584	depleted in toy-ScmKD
CG34437	24.9047547671612	-2.40257300167079	0.885444916032594	-2.71340764192987	0.00665951290191826	0.0245838269709825	depleted in toy-ScmKD
CG34450	3.61158286713656	-4.58634978611014	1.65929467417208	-2.76403574211346	0.00570912852723618	0.0215205015193495	depleted in toy-ScmKD
CG34454	3.4439597678255	-3.70000620871164	1.43752313569854	-2.57387593759573	0.0100566326586597	0.0341579854408108	depleted in toy-ScmKD
CG3505	51.1155943085324	-1.72089650436678	0.620944716615156	-2.77141661458623	0.00558129654049735	0.0211596385312015	depleted in toy-ScmKD
CG3588	395.843372463104	1.49838082489668	0.432737171096581	3.46256555936643	0.000535051547564202	0.0029791223397027	enriched in toy-ScmKD
CG3829	80.9601085122225	-2.17933818217021	0.480212577767851	-4.53827801075166	5.67154575858265e-06	5.49070626812876e-05	depleted in toy-ScmKD
CG3982	13.1632078577318	-6.41064302554131	1.29101395178839	-4.96558772014889	6.84933244649788e-07	8.16231597008706e-06	depleted in toy-ScmKD
CG3999	17.3842477367255	-5.37115683086874	1.95312457269613	-2.75003289905585	0.00595892815793377	0.0223166866122118	depleted in toy-ScmKD
CG4020	12.041443056566	-3.32506393949915	0.984710626793485	-3.37669143505291	0.000733633004614114	0.0039140518981573	depleted in toy-ScmKD
CG40439	132.366102085815	-1.04013804517384	0.218296609442761	-4.76479248958086	1.8904810392434e-06	2.05210247524089e-05	depleted in toy-ScmKD
CG40470	30.7270615398428	-2.16084728783836	0.637885172222231	-3.38751766295259	0.000705281757671865	0.0037770073679002	depleted in toy-ScmKD
CG4151	19.4690262496583	-8.16200767879927	3.12708604264899	-2.61010012755682	0.00905157249572373	0.031500073718507	depleted in toy-ScmKD
CG4194	15.9372762612764	-1.72471797610321	0.625419819647623	-2.75769638556539	0.00582102359940553	0.0218705961993447	depleted in toy-ScmKD
CG42255	14.3526237755477	-7.08806879573446	1.7044229341056	-4.15863261042891	3.20158347993532e-05	0.000254837286871751	depleted in toy-ScmKD
CG42259	90.611108329346	-1.98002088448268	0.32382196977404	-6.11453535985938	9.68386969444482e-10	1.85106815783411e-08	depleted in toy-ScmKD
CG42319	198.294058897489	-2.17182315032574	0.602712028974214	-3.60341762885017	0.000314060305469345	0.00188095008564402	depleted in toy-ScmKD
CG42326	164.038860379479	1.66951778430377	0.382196427905522	4.3682192255247	1.25263722926868e-05	0.000111671276396505	enriched in toy-ScmKD
CG42370	34.3955454902317	-6.57318464812289	2.09382554404296	-3.13931820481602	0.00169341451812142	0.00792960083921406	depleted in toy-ScmKD
CG42460	60.7328463967196	-4.78774386194195	1.14215932673621	-4.1918353682084	2.76706769202817e-05	0.00022434236899377	depleted in toy-ScmKD
CG42566	102.517084183624	-2.36554883061271	0.520296318300114	-4.54654155220876	5.45346073595445e-06	5.3040855347375e-05	depleted in toy-ScmKD
CG42586	15.7694433728546	-5.29039545563744	1.70540671702585	-3.10213124108227	0.0019213275772029	0.00877710700880959	depleted in toy-ScmKD
CG4259	148.598553120396	-2.08792594628356	0.423319145006641	-4.93227384329806	8.12778593149006e-07	9.5661300710515e-06	depleted in toy-ScmKD
CG42694	55.5658531284146	-2.35378597564418	0.44646903621951	-5.27200272514961	1.34943073810948e-07	1.83099572301772e-06	depleted in toy-ScmKD
CG42711	32.9310940754398	-2.87971226487867	0.676041515025223	-4.25966778796303	2.04730965223182e-05	0.000171701910385335	depleted in toy-ScmKD
CG42717	8.33178311143388	-5.73535368713542	2.33095198143015	-2.46051987892796	0.0138735886013671	0.0440648394782658	depleted in toy-ScmKD
CG42724	3425.06731848052	-1.35425539544512	0.0894795790688503	-15.1347984594684	9.54727406957617e-52	5.00038479394052e-49	depleted in toy-ScmKD
CG42750	12.2173713144268	-2.5286336274122	0.858832136735157	-2.94426992104043	0.00323717537855175	0.0134188413495566	depleted in toy-ScmKD
CG42798	25.4197956127954	-5.89807899240476	2.25158000846877	-2.61952893977588	0.00880513012962684	0.0307856268717761	depleted in toy-ScmKD
CG42807	303.039371940766	-1.63133247202236	0.51456412132515	-3.17031911945437	0.0015227160415939	0.00727334725749934	depleted in toy-ScmKD
CG42822	18.8463396785016	-5.25106546151775	1.641481894683	-3.19897860495856	0.00137915403441933	0.00666665367353135	depleted in toy-ScmKD
CG42834	403.732233324312	-7.50477142809961	1.49087519183379	-5.03380260749302	4.80844805255269e-07	5.93968081963318e-06	depleted in toy-ScmKD
CG42835	8.59487116413164	-20.6076033911287	3.55777950890326	-5.79226546770497	6.94432617992884e-09	1.18087364829147e-07	depleted in toy-ScmKD
CG4294	1152.37771128349	-1.67180314642405	0.116237299459016	-14.3826736701975	6.6475988892689e-47	2.11010904136642e-44	depleted in toy-ScmKD
CG4306	21.1070633099069	-5.93615363772591	1.86302719888726	-3.18629467206459	0.00144107738024165	0.00692762072419976	depleted in toy-ScmKD
CG43064	4.06126427846668	-4.63808594963015	1.88354151689436	-2.46242830754141	0.0137999759042396	0.043881349749868	depleted in toy-ScmKD
CG43085	34.6765305537453	-3.50308713738888	0.811942643341528	-4.31445147772017	1.59999669831559e-05	0.000137602343307519	depleted in toy-ScmKD
CG43110	11.2520650078005	-2.80610746622135	1.12801147496841	-2.48765861739121	0.0128587098388446	0.0414701310227517	depleted in toy-ScmKD
CG43124	65.0131270206369	-1.12419075112445	0.407537791674475	-2.75849448588662	0.00580682848411503	0.0218329247563191	depleted in toy-ScmKD
CG43125	15.7132759690499	-2.79842107962564	0.729749718399647	-3.83476828982219	0.000125682719837532	0.000844468563372767	depleted in toy-ScmKD
CG4313	145.755144248644	-1.07633678211215	0.189694267006158	-5.6740606824834	1.394516966664e-08	2.24042411438733e-07	depleted in toy-ScmKD
