geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyPcKD_change
CG9360	19.9172927839748	2.35649878458208	0.590815044354033	3.98855582148988	6.64767611822126e-05	0.00114344710695461	enriched in toy-PcKD
CG9514	91.6241081463916	2.42520345293979	0.383990670814918	6.31578743252523	2.68789298564523e-10	1.88926003379525e-08	enriched in toy-PcKD
CG9521	22.5389120623186	3.14750837604903	1.07488980235486	2.92821493808342	0.00340914283345034	0.0265608656162758	enriched in toy-PcKD
CG9626	25.6826888700849	-1.34954351310757	0.467583431331739	-2.88620901143544	0.00389913120952949	0.0295077551642936	depleted in toy-PcKD
CG9629	251.156649874197	-1.897397393405	0.372147183605938	-5.09851337586401	3.42331346848867e-07	1.28637586873593e-05	depleted in toy-PcKD
CG9743	32.3695701109285	-2.48885988609219	0.743577813380702	-3.34714113480134	0.000816496289489721	0.00900357646536633	depleted in toy-PcKD
CG9812	113.842426758166	1.17480273416329	0.373376281447631	3.14643107379082	0.00165276212049199	0.0155264287665449	enriched in toy-PcKD
CR43431	18.4384034584457	-1.97721408428108	0.583349520917684	-3.38941580198894	0.000700417150079841	0.00794782294573757	depleted in toy-PcKD
CR43650	20.7863252196866	-2.09523007759916	0.726053767065255	-2.8857781236618	0.0039044730857226	0.0295125378837535	depleted in toy-PcKD
CR43724	18.1227660412164	-2.47994797358031	0.563910731491373	-4.39776694268895	1.09370327123644e-05	0.000246777851269747	depleted in toy-PcKD
CR43751	32.9786034723022	-1.67846119607615	0.386194502003459	-4.34615507825412	1.38544635483817e-05	0.000300795797483753	depleted in toy-PcKD
CR43767	37.1216442710179	-6.69158585899057	0.787147699265188	-8.50105496749497	1.87875376456659e-17	5.09872896661543e-15	depleted in toy-PcKD
CR44127	6.37784067288865	-3.07417328429684	1.06598469660815	-2.88388125465453	0.00392806840820223	0.0296349253653558	depleted in toy-PcKD
CR44320	15.2308746726401	-1.94927691233085	0.595204891461471	-3.27496789810409	0.00105673981154986	0.0109950457495656	depleted in toy-PcKD
CR44334	60.1138243596907	3.53366345699325	0.803318705726552	4.39883128800949	1.08835390918093e-05	0.000246139298442076	enriched in toy-PcKD
CR44811	48.0908951229543	2.49212520035697	0.580737293587029	4.29131248824044	1.77620153753671e-05	0.000367658665714697	enriched in toy-PcKD
CR44845	46.8201849621541	-1.09179719434021	0.366497457389672	-2.97900346189681	0.0028918751096814	0.0235055073390909	depleted in toy-PcKD
CR44922	69.9472643516325	2.33226699020343	0.39153637964062	5.9567057149176	2.57373087143577e-09	1.50570961760045e-07	enriched in toy-PcKD
CR45131	14.3631211330711	3.04647643532035	0.665596328672225	4.577063159885	4.71549123469328e-06	0.000123845025169229	enriched in toy-PcKD
CR45143	43.0351608084823	-1.61661757268082	0.334723161278766	-4.8297152981728	1.36728404677875e-06	4.22733073956594e-05	depleted in toy-PcKD
CR45175	7.06423116822423	-3.33774891345157	1.10037505227353	-3.03328297615919	0.00241908641468337	0.0204097359857137	depleted in toy-PcKD
CR45267	28.9945743916651	-1.22914768613549	0.407642834141721	-3.01525645292753	0.00256762054315487	0.0214774423858074	depleted in toy-PcKD
CR45310	12.2277221028934	2.62549787803433	0.938405124826278	2.7978298589539	0.00514472051642302	0.0363704192803566	enriched in toy-PcKD
CR45465	5.62401848039641	-2.7363947090241	1.0055492415906	-2.72129359343517	0.00650269799633112	0.0433069934724983	depleted in toy-PcKD
CR45559	49.958544273277	1.30446264836831	0.394364520622893	3.30775863484861	0.0009404582644232	0.0100528197411539	enriched in toy-PcKD
CR45566	22.5763593836627	1.21610176320371	0.454650680075625	2.6748046720208	0.00747728007474383	0.0480311695521369	enriched in toy-PcKD
CR46003	47.13269819837	-1.84329610382651	0.520075921293798	-3.54428272557	0.000393682837461891	0.00505424615243453	depleted in toy-PcKD
CR46006	329.511909927781	3.10862043196004	0.222658762104564	13.9613658253439	2.68243464048554e-44	6.55184660938593e-41	enriched in toy-PcKD
CecC	4.41866159090987	4.40749218131635	1.55466611919587	2.83500883366267	0.00458244185646494	0.0332371617948496	enriched in toy-PcKD
Cht5	496.233712975072	1.7489746752996	0.475099099170038	3.68128392235414	0.000232062410380996	0.00325754274342289	enriched in toy-PcKD
Cpr100A	62.7365025117881	3.05656435265501	0.656337024675829	4.65700430988893	3.20843730844569e-06	8.85492443602102e-05	enriched in toy-PcKD
Cpr11A	39.5949349303975	2.20842901382277	0.809058428355048	2.72962858605018	0.00634057162714135	0.0426227616590998	enriched in toy-PcKD
Cpr47Ee	8.91569397689301	3.19972980091713	1.06215075612224	3.01250061017599	0.00259104915204142	0.0216402113245211	enriched in toy-PcKD
Cpr49Ac	2811.79397810456	1.60992428069935	0.58492770038886	2.75234747752427	0.00591697015237275	0.0404823518128024	enriched in toy-PcKD
Cpr49Ah	182.944529003514	3.54182402492738	0.827434304387625	4.28048970914815	1.86482510796797e-05	0.000382759271110233	enriched in toy-PcKD
