Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_WT_vs_PcKD_change
CG34193	66.8965354683449	-1.00315071950354	0.318819535680131	-3.1464531097931	0.00165263758477085	0.0105977842865613	depleted in absence of Pc
CG34247	55.4092178857544	1.53916819247834	0.513593073451097	2.9968632211799	0.00272773070506785	0.0158359921488661	enriched in absence of Pc
CG34276	20.0341950639781	-4.18152542483504	1.10311759340047	-3.79064339998881	0.000150257551924838	0.0015559025169487	depleted in absence of Pc
CG34279	35.6920433082492	-6.36108605492399	1.35651820402271	-4.68927437616423	2.74175555171612e-06	5.58198175196828e-05	depleted in absence of Pc
CG34296	55.8618636477081	-4.88699962520871	0.723967504114359	-6.75030246169274	1.47537265257057e-11	1.32537643289256e-09	depleted in absence of Pc
CG34445	102.012822190531	1.37923075015135	0.21014933224232	6.56309841879954	5.27010377933447e-11	4.02769647792271e-09	enriched in absence of Pc
CG3588	395.843372463104	1.42001721771758	0.435614667834968	3.25980120177117	0.00111490329677504	0.00773034845109896	enriched in absence of Pc
CG3598	7.00098923881157	3.74864899590843	1.42692446702152	2.62708299040743	0.00861203272580319	0.0378022868860783	enriched in absence of Pc
CG3746	4.51277908613264	4.32225351829701	1.4107231564625	3.06385664578966	0.00218503586007845	0.0132800903519664	enriched in absence of Pc
CG3829	80.9601085122225	-1.85767292376129	0.435900401318127	-4.26169124447657	2.02885624064779e-05	0.000301998790123169	depleted in absence of Pc
CG3831	180.491281492526	-1.12252372933355	0.229560687438982	-4.88987788744063	1.00898550174172e-06	2.38088030491635e-05	depleted in absence of Pc
CG3961	1126.67549660611	-1.0476543897803	0.187469286020935	-5.58840550373305	2.29164021912333e-08	8.62819392795661e-07	depleted in absence of Pc
CG40470	30.7270615398428	-1.74417933564612	0.549497645309963	-3.17413432165347	0.00150284125537758	0.00984053535570447	depleted in absence of Pc
CG40485	12.1240976944065	1.82420350174724	0.599869231475851	3.04100194847329	0.00235792304897458	0.0141048422573299	enriched in absence of Pc
