geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_ScmKD_change
Cyp6w1	5.97496464675948	-7.39059569585894	2.22478814749152	-3.32193233957666	0.000893963686719765	0.00710246867005207	depleted in ScmKD
DIP-theta	32.7224961345046	1.5005279807575	0.493848298642717	3.03843910140325	0.00237807164326664	0.015654104817566	enriched in ScmKD
Dh31-R	132.062155745109	-2.64408815821148	0.289188863601164	-9.14311887838833	6.0676633670429e-20	1.2945612612893e-17	depleted in ScmKD
Dr	571.339551147422	-2.37148435741257	0.468142296598476	-5.06573401857467	4.06829641378299e-07	1.05477021705194e-05	depleted in ScmKD
Dredd	662.367300998486	-1.10343364308327	0.119004584671888	-9.27219439591836	1.82354932399047e-20	4.14999302821921e-18	depleted in ScmKD
Drsl5	13.9074234032696	-3.9012699565162	1.32662041866853	-2.94075826183328	0.00327409938447739	0.0203706268508098	depleted in ScmKD
E(spl)m5-HLH	123.89647242825	1.54599328462886	0.277439032516626	5.57237123632277	2.51295216167091e-08	9.02987476760415e-07	enriched in ScmKD
Eig71Ee	624.893611280065	4.01185791562133	1.2459242610109	3.21998538849083	0.00128197130683415	0.0094997598793694	enriched in ScmKD
Eo	10.1984546465693	-3.3705130235371	1.13456022274826	-2.97076607830712	0.00297057951975315	0.0188136702917699	depleted in ScmKD
Ets21C	83.5309362182171	-2.42515623433022	0.636985159227641	-3.80724134494873	0.000140525590920542	0.00158319315359436	depleted in ScmKD
Ets98B	158.816149752463	-1.15251597003504	0.279953955129896	-4.11680545645546	3.84160078567036e-05	0.000538191978742137	depleted in ScmKD
Fer2	5.43446094046564	-5.04577699344126	1.61884331835788	-3.11690262808114	0.00182761925958553	0.0127237585570465	depleted in ScmKD
Fmo-2	24.5885454537823	-1.50473417861021	0.524730041538611	-2.86763489698062	0.00413552463496001	0.024580329533735	depleted in ScmKD
FoxP	12.9372390155776	-2.59983123732631	0.836333949604542	-3.10860421074098	0.00187973342225147	0.0130059151268307	depleted in ScmKD
GLS	142.097251811302	1.08832563449103	0.282991943133867	3.84578310759967	0.000120168025986335	0.00138429781116542	enriched in ScmKD
Gr61a	12.3592978034108	-2.83769880437336	0.775157555711093	-3.66080261163189	0.000251426406038354	0.00247344651704013	depleted in ScmKD
Gs2	1117.62061222511	1.54443901290556	0.586633756698577	2.63271418541827	0.00847055954992135	0.0430377276096699	enriched in ScmKD
GstD3	596.247451804591	-1.21402449064562	0.177910104888306	-6.82380852626556	8.86580340535939e-12	6.09360353518695e-10	depleted in ScmKD
Gyc32E	155.286770542504	-1.43110186455087	0.279567419989078	-5.11898655646921	3.07181854840812e-07	8.23520778907005e-06	depleted in ScmKD
Hsp23	35006.0412589039	1.18337825762715	0.302261539765959	3.91508049136334	9.03740530752532e-05	0.00109919320373357	enriched in ScmKD
Hsp67Bc	1097.16992540787	1.93446055520994	0.385959613133298	5.01208025240153	5.38447372935337e-07	1.35818708035241e-05	enriched in ScmKD
IFT52	31.6830523632896	1.13738342826078	0.403681226547832	2.81752866732832	0.00483947942347186	0.027796471551192	enriched in ScmKD
IP3K2	283.021577204776	-1.42366105423922	0.162750341719923	-8.7475149925596	2.18102399994504e-18	3.91857311990126e-16	depleted in ScmKD
Ilp8	503.550177768199	-3.10814201864871	0.807943115483672	-3.84698125286708	0.000119582115606266	0.0013790996012655	depleted in ScmKD
Ir62a	44.1816707807162	-2.14973740931361	0.478905330044054	-4.48885672062965	7.16064370427403e-06	0.000130021546410408	depleted in ScmKD
Iris	11.2060055982868	2.08720171419662	0.788841544417858	2.64590744360062	0.00814721050901667	0.0418315643185376	enriched in ScmKD
ItgaPS5	64.9345438753345	-1.64274908547683	0.415447066602148	-3.9541718248549	7.68002046869084e-05	0.000970418645008055	depleted in ScmKD
Kif3C	6.04792556915333	-2.90376942320197	1.08382673425752	-2.67918231892591	0.00738021970956161	0.0386602711230795	depleted in ScmKD
Ktl	36.1786960822671	1.68143529082867	0.606485436275098	2.77242484362969	0.00556403661594024	0.0311203162118208	enriched in ScmKD
Lip1	6.75061633110764	-3.37970942847285	1.26562534633599	-2.67038696582458	0.00757638759431166	0.0395664382220019	depleted in ScmKD
MFS9	19.3905878832503	2.66385754914482	0.729724569191411	3.65049727200027	0.000261733089435872	0.00255277006563121	enriched in ScmKD
