geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toySfmbtKD_change
CG8157	27.9643299721386	-3.19135066014194	1.03723871965506	-3.07677548057909	0.00209252847599402	0.0302103137118617	depleted in toy-SfmbtKD
CG8563	35.1601722710012	-2.25764197737973	0.723214279187237	-3.1216778240564	0.0017982361067145	0.0271772692563121	depleted in toy-SfmbtKD
CG8665	109.810086052318	-5.03512169171232	1.40519135402931	-3.58322848861429	0.00033937349955249	0.00755962771415892	depleted in toy-SfmbtKD
CG8909	136.716065049794	1.65389077740334	0.326872665438964	5.05974023610171	4.19828026685148e-07	2.27047535512697e-05	enriched in toy-SfmbtKD
CG9040	29.2910128300631	12.6379442837408	2.61732068800425	4.82858074735101	1.37509574131559e-06	6.6785596562439e-05	enriched in toy-SfmbtKD
CG9411	55.5464600019073	-1.73144132173403	0.474798182074709	-3.64668902936446	0.000265641079567617	0.00619519580669931	depleted in toy-SfmbtKD
CG9449	63.8287035464399	-3.16060194531359	1.02044772674117	-3.09726981842282	0.00195312012255009	0.0287536391714674	depleted in toy-SfmbtKD
CG9518	29.7482004155624	2.0970887939431	0.703757304578182	2.97984657537594	0.0028839278774408	0.0389914843429665	enriched in toy-SfmbtKD
CG9925	333.609491041724	6.78040314676563	0.292169232723837	23.207108714197	3.85966505880442e-119	3.86159489133382e-115	enriched in toy-SfmbtKD
CR40469	399.601319399101	1.56587750133982	0.314965511124583	4.97158401803695	6.64080737619033e-07	3.40724501532227e-05	enriched in toy-SfmbtKD
CR43256	18.8876681662238	2.23992602099155	0.522690064470099	4.28538090400165	1.82426355687417e-05	0.000663700250419131	enriched in toy-SfmbtKD
CR43287	5.15968663428987	-2.65553738399595	0.90103986341711	-2.94719189662161	0.00320674135067984	0.0419940408554342	depleted in toy-SfmbtKD
CR43961	17.839260845473	7.81706481457407	1.30132012557076	6.00702675765158	1.88956341853407e-09	1.67301610641004e-07	enriched in toy-SfmbtKD
CR44320	15.2308746726401	2.68931014410354	0.735414110293818	3.65686503217771	0.000255318727059635	0.00601050320995683	enriched in toy-SfmbtKD
CR44368	96.7653218870812	1.65585495363681	0.209220603129251	7.91439719067183	2.48453930731532e-15	6.06288189504628e-13	enriched in toy-SfmbtKD
CR44445	12.8716031527764	8.23190225129559	1.59879624802671	5.14881259038211	2.62140633827425e-07	1.50004063341826e-05	enriched in toy-SfmbtKD
CR44660	3.39202066393996	-6.79359295440779	1.61656338079036	-4.20249093548459	2.63993822880682e-05	0.000910778688938354	depleted in toy-SfmbtKD
CR45143	43.0351608084823	1.52563966441075	0.336951887605603	4.52776708049337	5.96102343504125e-06	0.000246446444080941	enriched in toy-SfmbtKD
CR45232	125.274871708114	-1.10953777230486	0.311431197651344	-3.56270592243947	0.000367051783706931	0.00801823820084682	depleted in toy-SfmbtKD
CR45559	49.958544273277	-1.17557832303449	0.402880466473687	-2.91793328508585	0.00352359729979701	0.0450508352864677	depleted in toy-SfmbtKD
CR45822	213.810291331476	-7.59981900799135	0.541905238209854	-14.0242582505694	1.10764162728087e-44	1.10819544809451e-41	depleted in toy-SfmbtKD
CR45835	156.830571438051	-5.29869311518573	0.36529496849193	-14.5052452735954	1.12235578525006e-47	1.24768551460298e-44	depleted in toy-SfmbtKD
CR45923	24.7275241245004	4.14841762121545	0.671523063418001	6.17762493532287	6.50730773927215e-10	6.32093339139979e-08	enriched in toy-SfmbtKD
CR46006	329.511909927781	-4.08094370134166	0.236186375845395	-17.2784890184055	6.83143128792586e-67	1.70871175089246e-63	depleted in toy-SfmbtKD
CR46119	9.78520805671971	3.66864599761932	0.861002336219129	4.26090132778181	2.03604115608848e-05	0.00072752113452376	enriched in toy-SfmbtKD
Cep89	7.50865685651842	5.3797890176591	1.3906692130232	3.86848933396885	0.000109511725808884	0.00301836037663329	enriched in toy-SfmbtKD
Corin	53.7675480434081	1.54389088159036	0.498271157502171	3.09849538417971	0.00194506000018339	0.0287321539239953	enriched in toy-SfmbtKD
Cpr65Ec	118.59142030439	-1.35096673948938	0.35377635341884	-3.81870276640552	0.000134155289288102	0.00354148725416216	depleted in toy-SfmbtKD
Cpr66D	541.351972153401	1.17763864759764	0.162673626227132	7.2392721236408	4.51099119352481e-13	8.84950331200309e-11	enriched in toy-SfmbtKD
Cyp309a1	7.08831755463501	-6.35368302430511	2.17706360523559	-2.91846458184558	0.00351759833474639	0.0450508352864677	depleted in toy-SfmbtKD
Cyp4g1	95.4480204862882	-4.49824458903987	1.43626777475999	-3.13189829089604	0.00173680031386797	0.0265698580126133	depleted in toy-SfmbtKD
Cyp4p2	120.033470087579	-3.84313009325636	1.3273641476857	-2.89530955010121	0.00378784800900651	0.0474310629913769	depleted in toy-SfmbtKD
Cyp6g2	322.749472006734	-2.18324594103572	0.626647680685146	-3.48400865163766	0.000493963520207808	0.0101480595886635	depleted in toy-SfmbtKD
DIP-delta	146.654215002205	1.18875745173948	0.20321220329454	5.84983299460845	4.92066823934895e-09	3.97026497860373e-07	enriched in toy-SfmbtKD
Dh31-R	132.062155745109	-1.53521818308218	0.271070132282616	-5.66354607257716	1.48276334495244e-08	1.10709307957083e-06	depleted in toy-SfmbtKD
