geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toyScmKD_change
CG5987	63.5262193431624	-1.99098022125031	0.346081069887011	-5.75293014986439	8.77097322477423e-09	2.1567123128993e-07	depleted in toy-ScmKD
CG6012	6.13670795751335	-21.0326357995262	4.30030169717946	-4.89096749033245	1.00341538166548e-06	1.62454035903337e-05	depleted in toy-ScmKD
CG6041	85.925257807811	-2.73480776171408	0.338596125165517	-8.07690212159756	6.64328262521418e-16	5.19316309694914e-14	depleted in toy-ScmKD
CG6324	17.9719435332903	-3.58118435811733	1.43156747354719	-2.5015826527853	0.0123639578646033	0.0490206126539439	depleted in toy-ScmKD
CG6356	64.1296440613481	-3.18047109957857	0.685266393967984	-4.64121855029588	3.46360550622369e-06	4.84396097165462e-05	depleted in toy-ScmKD
CG6415	15.6545963232193	-6.16445598533102	2.19580498980542	-2.80737862148554	0.0049946498530846	0.0242105308704587	depleted in toy-ScmKD
CG6785	81.391901069463	-1.55831398143909	0.320392659230268	-4.86376306243372	1.15174775758224e-06	1.84191721537007e-05	depleted in toy-ScmKD
CG6845	438.139304342825	-2.72526463601512	0.25740440489439	-10.5874825146573	3.40629557203165e-26	7.43353044104823e-24	depleted in toy-ScmKD
CG6870	33.0528585806591	-4.09963000592873	1.50063389492705	-2.73193216532539	0.00629641033138571	0.0289911640533034	depleted in toy-ScmKD
CG6908	25.7162269452297	-3.26767234684306	1.0852324987745	-3.01103436409533	0.00260359385371407	0.0143313954900972	depleted in toy-ScmKD
CG6910	336.89359222811	-2.34289279862758	0.754807769954214	-3.10395956677778	0.00190949424436042	0.0110630266646435	depleted in toy-ScmKD
CG6912	238.932535042449	-2.12082518016217	0.253287507789356	-8.37319297217744	5.60776634313324e-17	4.9780807156204e-15	depleted in toy-ScmKD
CG6933	53.6259260619276	-5.47523113698622	1.72692357048915	-3.17051155624412	0.00152170779811306	0.0091819638163792	depleted in toy-ScmKD
CG7054	244.584282378781	-1.03572015350643	0.232666061326264	-4.45153086618015	8.52602745069167e-06	0.000107473089706372	depleted in toy-ScmKD
CG7059	21.9059843251117	-1.70080984345711	0.569037429895256	-2.98892437316502	0.00279961417686475	0.0152263543627509	depleted in toy-ScmKD
CG7173	200.640121163896	-2.53502151888459	0.425110770131618	-5.9632022921925	2.4734189251155e-09	6.72962681573632e-08	depleted in toy-ScmKD
CG7255	103.375495746956	-8.75052802209915	1.81653368877023	-4.8171570261508	1.45618091207878e-06	2.26324835832986e-05	depleted in toy-ScmKD
CG7298	30.0269181554043	-3.80222324762553	1.50874433285033	-2.52012429464596	0.0117313400710431	0.0470939990238949	depleted in toy-ScmKD
CG7320	18.3632018230803	-6.28123525764164	1.96700236153748	-3.19330336377025	0.00140655095884955	0.00864649136968842	depleted in toy-ScmKD
CG7367	130.074884485918	1.02584522372087	0.268075033932999	3.82670929355274	0.000129867734060999	0.00113799315490703	enriched in toy-ScmKD
CG7381	49.1475567402128	1.18827146375365	0.355581589542994	3.34176880552467	0.000832463674789447	0.00549467989503431	enriched in toy-ScmKD
CG7470	195.893859125467	-1.58267522487233	0.52624369199527	-3.00749490957614	0.00263410536185972	0.0144475533902836	depleted in toy-ScmKD
CG7497	16.9504190518491	-1.83901199344254	0.666252979602542	-2.7602307978264	0.00577605396791352	0.0271928832871434	depleted in toy-ScmKD
CG7567	75.9714657058343	-4.36448032359765	1.48508646536282	-2.93887287063206	0.00329408159911354	0.0173481672954823	depleted in toy-ScmKD
CG7708	7.48604674224688	3.99836231239002	1.34521753344251	2.97227936225149	0.0029559758460311	0.0159607458696782	enriched in toy-ScmKD
CG7714	34.5534241853539	-5.92264594065797	2.12660241962578	-2.78502736853849	0.0053523205210647	0.0255423951973361	depleted in toy-ScmKD
CG7800	357.726845384512	-1.36119029287231	0.197352909970041	-6.89723953439014	5.30227369686085e-12	2.23956923284748e-10	depleted in toy-ScmKD
CG7991	1144.4050294951	1.11830113613243	0.133160056317032	8.39817259816967	4.53480316341733e-17	4.06000539630739e-15	enriched in toy-ScmKD
CG8051	23.3128060901983	-1.96362194477514	0.567664742596942	-3.45912260781249	0.000541938148126902	0.0038460718845727	depleted in toy-ScmKD
CG8079	581.642261530878	-1.1958606987303	0.145980601885869	-8.1919151125658	2.57101950309449e-16	2.08770769728022e-14	depleted in toy-ScmKD
CG8100	50.6776188472838	-7.32023551479298	1.81643345978476	-4.030004774114	5.57757200581669e-05	0.000552744245609554	depleted in toy-ScmKD
CG8112	87.1816118092109	-1.4181502500808	0.525250785522897	-2.69994884190226	0.00693501391012536	0.0312448476165863	depleted in toy-ScmKD
CG8129	6.83568357397756	-5.19491593253609	1.76430509776662	-2.94445441387217	0.00323524602503377	0.0171117306327345	depleted in toy-ScmKD
CG8192	35.7210706062691	-1.26258257230316	0.448206228848393	-2.81696792913209	0.00484793662960272	0.0236415904073969	depleted in toy-ScmKD
CG8245	54.137986039979	-1.16997497678793	0.370494622020675	-3.1578730357998	0.00158924758034123	0.00951822092857312	depleted in toy-ScmKD
CG8301	13.9878791515447	-1.98162620488831	0.719820422535588	-2.75294523863045	0.00590617746353838	0.0276316252481307	depleted in toy-ScmKD
CG8563	35.1601722710012	-3.05455484849938	0.756375269773858	-4.03841184470855	5.38143099514033e-05	0.000537886351852051	depleted in toy-ScmKD
CG8654	38.3935997740707	-1.26087587686619	0.449328017813047	-2.8061367795471	0.00501394040977013	0.0242815653223958	depleted in toy-ScmKD
CG8665	109.810086052318	-7.0895785767298	1.51694516170354	-4.67358923427933	2.95981017895772e-06	4.20678583779947e-05	depleted in toy-ScmKD
CG8745	54.6918375252512	-5.17190756950663	1.53350442789108	-3.37260687053847	0.000744601836786444	0.00503531584269722	depleted in toy-ScmKD
CG9040	29.2910128300631	16.8334378411321	2.42569757176073	6.93962760943578	3.93134863054006e-12	1.68085211856764e-10	enriched in toy-ScmKD
CG9150	385.977004564621	1.47812622046938	0.231701474674125	6.37944243793993	1.77733872597589e-10	5.78187054490604e-09	enriched in toy-ScmKD
CG9184	40.0966950407873	-2.70217392129468	0.897045194570393	-3.01230521901273	0.00259271765453716	0.0142966592422596	depleted in toy-ScmKD
CG9444	31.9271681401319	-6.36008629093354	1.46642033041048	-4.33715092394637	1.44341516326623e-05	0.000172797415259586	depleted in toy-ScmKD
CG9449	63.8287035464399	-5.95491394210506	1.16569374700624	-5.10847206429526	3.24774410482226e-07	5.9092904182926e-06	depleted in toy-ScmKD
CG9452	9.0109451035316	-4.26333398740761	1.67354046995686	-2.54749380964628	0.0108499778090144	0.0443959052927445	depleted in toy-ScmKD
CG9509	28.8302407839812	-3.03947341704684	1.19622944711425	-2.54087827747359	0.0110574407732187	0.0449812396502779	depleted in toy-ScmKD
CG9510	54.4842140041551	-2.16339709888698	0.661708510410736	-3.26941102441634	0.00107771625660892	0.00687519962727066	depleted in toy-ScmKD
CG9626	25.6826888700849	-1.43984562569883	0.492963082942376	-2.9207980790463	0.00349136029733763	0.0181049500567385	depleted in toy-ScmKD
CG9757	61.7310578051838	-8.86376043954163	2.13981585025115	-4.14230058091273	3.43839300884521e-05	0.000366028117557455	depleted in toy-ScmKD
CG9759	37.1984971321211	-8.83376645352694	2.5310510398996	-3.49015737504738	0.000482736178585488	0.00348494932507442	depleted in toy-ScmKD
CG9812	113.842426758166	-1.22971162223281	0.386945831922554	-3.17799423274038	0.001482977006644	0.0090001066886419	depleted in toy-ScmKD
CG9877	19.2153027425125	-4.10703081767957	1.38018666328607	-2.97570678440059	0.00292314203578992	0.0157997486196591	depleted in toy-ScmKD
CG9902	319.879266760863	-2.08381642424018	0.170137867839678	-12.2478108530417	1.72592059122367e-34	7.23160727722716e-32	depleted in toy-ScmKD
CG9925	333.609491041724	1.32799132904658	0.342767203394275	3.87432436912301	0.000106920921023608	0.000965514351484738	enriched in toy-ScmKD
COX7AL	2.68774941240622	-3.67575370366617	1.46283241569349	-2.51276473246841	0.0119789191173294	0.0478015915253429	depleted in toy-ScmKD
CR31144	7.63433632547719	2.71317259595273	1.069892581388	2.53592990843329	0.0112149178409644	0.0454662001829058	enriched in toy-ScmKD
CR31781	33.6875238526197	-2.08150880729478	0.528092274624649	-3.94156269143352	8.09524699416063e-05	0.000759836131396349	depleted in toy-ScmKD
CR32111	434.473302500815	-3.33971376585409	0.209179023077086	-15.9658158677955	2.21131113334978e-57	7.72116137394633e-54	depleted in toy-ScmKD
CR40469	399.601319399101	2.0352793042405	0.315260380279925	6.45586769397837	1.07600585449481e-10	3.63585849220422e-09	enriched in toy-ScmKD
CR40640	557.301267830219	2.22507079405182	0.552174987144832	4.02964793019173	5.58604536640463e-05	0.000553060729802349	enriched in toy-ScmKD
CR41544	183.439522913289	2.51184008798733	0.565293688748522	4.44342496295719	8.85380438817132e-06	0.000110804780126756	enriched in toy-ScmKD
CR42491	1517.42503262429	-1.29066937842373	0.120937159312993	-10.6722316429097	1.37288821459467e-26	3.12630522779981e-24	depleted in toy-ScmKD
CR42547	202.214114421548	-1.81896796086458	0.198826109138941	-9.14853672257638	5.77099156271197e-20	7.55639207742599e-18	depleted in toy-ScmKD
CR42862	21938.4572724951	-3.11016557251861	0.221640760384341	-14.0324621117766	9.86657182512917e-45	1.03352339868228e-41	depleted in toy-ScmKD
CR43144	67.7529850061826	-1.20777838561599	0.304432824388823	-3.96730670564425	7.26894234670916e-05	0.000694727838337395	depleted in toy-ScmKD
CR43256	18.8876681662238	2.02386185217814	0.538960004884422	3.7551243762738	0.000173255419598387	0.00145304285051489	enriched in toy-ScmKD
CR43257	44.0171207182211	-1.03045053312394	0.350997947980172	-2.93577366777696	0.00332716983871142	0.0174609739782075	depleted in toy-ScmKD
CR43283	460.596534161358	-3.91029204093041	0.932573260465559	-4.19301325343417	2.75273354035803e-05	0.000301935956390056	depleted in toy-ScmKD
CR43301	9.95044973323141	-3.23646614412351	1.13181096598072	-2.85954655097293	0.00424247147585732	0.0213550642525735	depleted in toy-ScmKD
CR43496	35.0927529400976	-1.23154654398478	0.374067770026021	-3.29230862070559	0.000993685022293978	0.00640150713931698	depleted in toy-ScmKD
