geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_SfmbtKD_change
CG32335	19.0675332588022	3.02998360384014	0.676674176831108	4.47775858394607	7.54308329195194e-06	0.000144785704837663	enriched in SfmbtKD
CG32373	284.674884143357	-1.64600312434275	0.462181176747637	-3.56138070339786	0.000368909719829764	0.00356150984460157	depleted in SfmbtKD
CG32444	15.9283028457394	-2.48226641055035	0.728151868967276	-3.4089954532025	0.000652025664290648	0.00570353148245494	depleted in SfmbtKD
CG32512	423.851320442837	1.15260668537054	0.277324174165874	4.15617098234335	3.23625665481968e-05	0.000486012356664992	enriched in SfmbtKD
CG32603	52.8622407982661	-3.51903380059915	1.32523693213738	-2.65539973665203	0.00792144778958712	0.0395263252830777	depleted in SfmbtKD
CG32694	55.6184359069438	-1.83079296330833	0.548787012590002	-3.33607195743918	0.000849711672240937	0.00708939627480269	depleted in SfmbtKD
CG3301	24.8882343834074	-1.99891186424766	0.779163601674259	-2.56545847361507	0.0103039554392038	0.0484687745021767	depleted in SfmbtKD
CG33110	6.67521081761507	3.12221805007927	1.17296303216274	2.6618213570827	0.00777191139246314	0.0390393698222955	enriched in SfmbtKD
CG33509	110.74846476401	3.03541414257301	0.408193047087515	7.43622206265122	1.03605617883238e-13	1.23442303258443e-11	enriched in SfmbtKD
CG33914	35.716007987104	5.22897243502888	0.725519494284559	7.20721148945173	5.7109270383172e-13	6.26918619824259e-11	enriched in SfmbtKD
CG34113	130.714744818567	1.35016491557647	0.17398964325166	7.76003036929952	8.49090508147224e-15	1.25691125221188e-12	enriched in SfmbtKD
CG34247	55.4092178857544	-2.07944977228436	0.520054946607021	-3.99851936002389	6.37399681868515e-05	0.000848418922596103	depleted in SfmbtKD
CG34279	35.6920433082492	4.70241653701336	1.36121830030972	3.45456458816593	0.000551182176997999	0.00492580278691689	enriched in SfmbtKD
CG34296	55.8618636477081	2.97110173378302	0.728795888312632	4.07672680572055	4.56741029903723e-05	0.000647657454594974	enriched in SfmbtKD
CG34370	29.7671492113095	-2.39669808462973	0.765921880238139	-3.12916779957318	0.00175302168617907	0.0124554613756403	depleted in SfmbtKD
CG34377	5679.28545416559	1.09725335800863	0.160500050552338	6.83646736703564	8.11698372283942e-12	6.66411184639841e-10	enriched in SfmbtKD
CG3588	395.843372463104	-1.58469326706834	0.435446967336357	-3.63923367468134	0.00027345058129665	0.00277463003001463	depleted in SfmbtKD
CG3598	7.00098923881157	-6.8089938051502	1.71171038639706	-3.97788893451907	6.95298335432654e-05	0.000910598490238208	depleted in SfmbtKD
CG3703	115.856032041397	1.04024513179175	0.246548214802417	4.21923611422374	2.4513145054983e-05	0.000390054441672938	enriched in SfmbtKD
CG3814	324.895509847658	1.11131557940474	0.242129685605481	4.58975353074007	4.43769692907643e-06	9.22474446746313e-05	enriched in SfmbtKD
